TimeInterval,Time,WeekDay,HoliDay,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,交通量
2024/05/14,00:00,2,0,01F0584N,01F0557N,31,97,41
2024/05/14,00:00,2,0,01F0584N,01F0557N,32,100,11
2024/05/14,00:00,2,0,01F0584N,01F0557N,41,0,0
2024/05/14,00:00,2,0,01F0584N,01F0557N,42,93,16
2024/05/14,00:00,2,0,01F0584N,01F0557N,5,88,16
2024/05/14,00:00,2,0,01F0633N,01F0584N,31,100,31
2024/05/14,00:00,2,0,01F0633N,01F0584N,32,97,9
2024/05/14,00:00,2,0,01F0633N,01F0584N,41,0,0
2024/05/14,00:00,2,0,01F0633N,01F0584N,42,91,14
2024/05/14,00:00,2,0,01F0633N,01F0584N,5,86,17
2024/05/14,00:00,2,0,01F0578S,01F0633S,31,100,29
2024/05/14,00:00,2,0,01F0578S,01F0633S,32,97,6
2024/05/14,00:00,2,0,01F0578S,01F0633S,41,104,1
2024/05/14,00:00,2,0,01F0578S,01F0633S,42,97,17
2024/05/14,00:00,2,0,01F0578S,01F0633S,5,82,10
2024/05/14,00:00,2,0,01F0633S,01F0664S,31,100,30
2024/05/14,00:00,2,0,01F0633S,01F0664S,32,104,8
2024/05/14,00:00,2,0,01F0633S,01F0664S,41,90,1
2024/05/14,00:00,2,0,01F0633S,01F0664S,42,88,14
2024/05/14,00:00,2,0,01F0633S,01F0664S,5,86,11
2024/05/14,00:00,2,0,01F0633N,01H0579N,31,102,4
2024/05/14,00:00,2,0,01F0633N,01H0579N,32,55,2
2024/05/14,00:00,2,0,01F0633N,01H0579N,41,0,0
2024/05/14,00:00,2,0,01F0633N,01H0579N,42,0,0
2024/05/14,00:00,2,0,01F0633N,01H0579N,5,0,0
2024/05/14,00:00,2,0,01F0578S,01H0610S,31,97,7
2024/05/14,00:00,2,0,01F0578S,01H0610S,32,90,1
2024/05/14,00:00,2,0,01F0578S,01H0610S,41,0,0
2024/05/14,00:00,2,0,01F0578S,01H0610S,42,0,0
2024/05/14,00:00,2,0,01F0578S,01H0610S,5,0,0
2024/05/14,00:05,2,0,01F0584N,01F0557N,31,97,49
2024/05/14,00:05,2,0,01F0584N,01F0557N,32,100,17
2024/05/14,00:05,2,0,01F0584N,01F0557N,41,0,0
2024/05/14,00:05,2,0,01F0584N,01F0557N,42,91,10
2024/05/14,00:05,2,0,01F0584N,01F0557N,5,84,10
2024/05/14,00:05,2,0,01F0633N,01F0584N,31,100,40
2024/05/14,00:05,2,0,01F0633N,01F0584N,32,100,17
2024/05/14,00:05,2,0,01F0633N,01F0584N,41,0,0
2024/05/14,00:05,2,0,01F0633N,01F0584N,42,90,8
2024/05/14,00:05,2,0,01F0633N,01F0584N,5,86,10
2024/05/14,00:05,2,0,01F0578S,01F0633S,31,100,27
2024/05/14,00:05,2,0,01F0578S,01F0633S,32,97,5
2024/05/14,00:05,2,0,01F0578S,01F0633S,41,0,0
2024/05/14,00:05,2,0,01F0578S,01F0633S,42,88,12
2024/05/14,00:05,2,0,01F0578S,01F0633S,5,84,20
2024/05/14,00:05,2,0,01F0633S,01F0664S,31,97,32
2024/05/14,00:05,2,0,01F0633S,01F0664S,32,97,8
2024/05/14,00:05,2,0,01F0633S,01F0664S,41,100,1
2024/05/14,00:05,2,0,01F0633S,01F0664S,42,93,15
2024/05/14,00:05,2,0,01F0633S,01F0664S,5,86,16
2024/05/14,00:05,2,0,01F0633N,01H0579N,31,104,2
2024/05/14,00:05,2,0,01F0633N,01H0579N,32,100,1
2024/05/14,00:05,2,0,01F0633N,01H0579N,41,0,0
2024/05/14,00:05,2,0,01F0633N,01H0579N,42,0,0
2024/05/14,00:05,2,0,01F0633N,01H0579N,5,0,0
2024/05/14,00:05,2,0,01F0578S,01H0610S,31,102,6
2024/05/14,00:05,2,0,01F0578S,01H0610S,32,93,2
2024/05/14,00:05,2,0,01F0578S,01H0610S,41,0,0
2024/05/14,00:05,2,0,01F0578S,01H0610S,42,0,0
2024/05/14,00:05,2,0,01F0578S,01H0610S,5,0,0
2024/05/14,00:10,2,0,01F0584N,01F0557N,31,97,40
2024/05/14,00:10,2,0,01F0584N,01F0557N,32,97,11
2024/05/14,00:10,2,0,01F0584N,01F0557N,41,0,0
2024/05/14,00:10,2,0,01F0584N,01F0557N,42,90,6
2024/05/14,00:10,2,0,01F0584N,01F0557N,5,82,13
2024/05/14,00:10,2,0,01F0633N,01F0584N,31,100,27
2024/05/14,00:10,2,0,01F0633N,01F0584N,32,97,9
2024/05/14,00:10,2,0,01F0633N,01F0584N,41,0,0
2024/05/14,00:10,2,0,01F0633N,01F0584N,42,93,7
2024/05/14,00:10,2,0,01F0633N,01F0584N,5,90,15
2024/05/14,00:10,2,0,01F0578S,01F0633S,31,100,28
2024/05/14,00:10,2,0,01F0578S,01F0633S,32,95,6
2024/05/14,00:10,2,0,01F0578S,01F0633S,41,90,1
2024/05/14,00:10,2,0,01F0578S,01F0633S,42,93,13
2024/05/14,00:10,2,0,01F0578S,01F0633S,5,82,16
2024/05/14,00:10,2,0,01F0633S,01F0664S,31,100,30
