TimeInterval,Time,WeekDay,HoliDay,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,交通量
2024/05/01,00:00,3,0,01F0584N,01F0557N,31,104,59
2024/05/01,00:00,3,0,01F0633N,01F0584N,31,104,44
2024/05/01,00:00,3,0,01F0578S,01F0633S,31,97,37
2024/05/01,00:00,3,0,01F0633S,01F0664S,31,100,49
2024/05/01,00:00,3,0,01F0633N,01H0579N,31,100,9
2024/05/01,00:00,3,0,01F0578S,01H0610S,31,100,16
2024/05/01,00:05,3,0,01F0584N,01F0557N,31,99,50
2024/05/01,00:05,3,0,01F0633N,01F0584N,31,100,44
2024/05/01,00:05,3,0,01F0578S,01F0633S,31,100,34
2024/05/01,00:05,3,0,01F0633S,01F0664S,31,97,48
2024/05/01,00:05,3,0,01F0633N,01H0579N,31,99,12
2024/05/01,00:05,3,0,01F0578S,01H0610S,31,100,9
2024/05/01,00:10,3,0,01F0584N,01F0557N,31,100,54
2024/05/01,00:10,3,0,01F0633N,01F0584N,31,100,34
2024/05/01,00:10,3,0,01F0578S,01F0633S,31,100,40
2024/05/01,00:10,3,0,01F0633S,01F0664S,31,97,42
2024/05/01,00:10,3,0,01F0633N,01H0579N,31,97,11
2024/05/01,00:10,3,0,01F0578S,01H0610S,31,97,14
2024/05/01,00:15,3,0,01F0584N,01F0557N,31,104,48
2024/05/01,00:15,3,0,01F0633N,01F0584N,31,104,45
2024/05/01,00:15,3,0,01F0578S,01F0633S,31,100,38
2024/05/01,00:15,3,0,01F0633S,01F0664S,31,100,43
2024/05/01,00:15,3,0,01F0633N,01H0579N,31,104,12
2024/05/01,00:15,3,0,01F0578S,01H0610S,31,93,10
2024/05/01,00:20,3,0,01F0584N,01F0557N,31,100,55
2024/05/01,00:20,3,0,01F0633N,01F0584N,31,100,32
2024/05/01,00:20,3,0,01F0578S,01F0633S,31,97,46
2024/05/01,00:20,3,0,01F0633S,01F0664S,31,100,49
2024/05/01,00:20,3,0,01F0633N,01H0579N,31,100,9
2024/05/01,00:20,3,0,01F0578S,01H0610S,31,97,9
2024/05/01,00:25,3,0,01F0584N,01F0557N,31,97,38
2024/05/01,00:25,3,0,01F0633N,01F0584N,31,100,31
2024/05/01,00:25,3,0,01F0578S,01F0633S,31,93,45
2024/05/01,00:25,3,0,01F0633S,01F0664S,31,97,46
2024/05/01,00:25,3,0,01F0633N,01H0579N,31,99,14
2024/05/01,00:25,3,0,01F0578S,01H0610S,31,82,4
2024/05/01,00:30,3,0,01F0584N,01F0557N,31,100,55
2024/05/01,00:30,3,0,01F0633N,01F0584N,31,104,37
2024/05/01,00:30,3,0,01F0578S,01F0633S,31,99,30
2024/05/01,00:30,3,0,01F0633S,01F0664S,31,99,40
2024/05/01,00:30,3,0,01F0633N,01H0579N,31,100,7
2024/05/01,00:30,3,0,01F0578S,01H0610S,31,97,11
2024/05/01,00:35,3,0,01F0584N,01F0557N,31,100,49
2024/05/01,00:35,3,0,01F0633N,01F0584N,31,100,39
2024/05/01,00:35,3,0,01F0578S,01F0633S,31,100,41
2024/05/01,00:35,3,0,01F0633S,01F0664S,31,97,44
2024/05/01,00:35,3,0,01F0633N,01H0579N,31,104,9
2024/05/01,00:35,3,0,01F0578S,01H0610S,31,97,7
2024/05/01,00:40,3,0,01F0584N,01F0557N,31,97,38
2024/05/01,00:40,3,0,01F0633N,01F0584N,31,104,27
2024/05/01,00:40,3,0,01F0578S,01F0633S,31,97,41
2024/05/01,00:40,3,0,01F0633S,01F0664S,31,97,35
2024/05/01,00:40,3,0,01F0633N,01H0579N,31,108,3
2024/05/01,00:40,3,0,01F0578S,01H0610S,31,93,9
2024/05/01,00:45,3,0,01F0584N,01F0557N,31,100,36
