TimeInterval,Time,WeekDay,HoliDay,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,交通量
2024/05/16,00:00,4,0,01F0584N,01F0557N,31,100,37
2024/05/16,00:00,4,0,01F0584N,01F0557N,32,97,12
2024/05/16,00:00,4,0,01F0584N,01F0557N,41,90,2
2024/05/16,00:00,4,0,01F0584N,01F0557N,42,93,9
2024/05/16,00:00,4,0,01F0584N,01F0557N,5,88,22
2024/05/16,00:00,4,0,01F0633N,01F0584N,31,104,34
2024/05/16,00:00,4,0,01F0633N,01F0584N,32,100,8
2024/05/16,00:00,4,0,01F0633N,01F0584N,41,93,1
2024/05/16,00:00,4,0,01F0633N,01F0584N,42,91,12
2024/05/16,00:00,4,0,01F0633N,01F0584N,5,90,18
2024/05/16,00:00,4,0,01F0578S,01F0633S,31,102,26
2024/05/16,00:00,4,0,01F0578S,01F0633S,32,97,3
2024/05/16,00:00,4,0,01F0578S,01F0633S,41,97,1
2024/05/16,00:00,4,0,01F0578S,01F0633S,42,97,9
2024/05/16,00:00,4,0,01F0578S,01F0633S,5,88,14
2024/05/16,00:00,4,0,01F0633S,01F0664S,31,97,34
2024/05/16,00:00,4,0,01F0633S,01F0664S,32,111,3
2024/05/16,00:00,4,0,01F0633S,01F0664S,41,93,3
2024/05/16,00:00,4,0,01F0633S,01F0664S,42,90,8
2024/05/16,00:00,4,0,01F0633S,01F0664S,5,86,15
2024/05/16,00:00,4,0,01F0633N,01H0579N,31,86,3
2024/05/16,00:00,4,0,01F0633N,01H0579N,32,93,2
2024/05/16,00:00,4,0,01F0633N,01H0579N,41,0,0
2024/05/16,00:00,4,0,01F0633N,01H0579N,42,0,0
2024/05/16,00:00,4,0,01F0633N,01H0579N,5,0,0
2024/05/16,00:00,4,0,01F0578S,01H0610S,31,100,13
2024/05/16,00:00,4,0,01F0578S,01H0610S,32,100,3
2024/05/16,00:00,4,0,01F0578S,01H0610S,41,0,0
2024/05/16,00:00,4,0,01F0578S,01H0610S,42,0,0
2024/05/16,00:00,4,0,01F0578S,01H0610S,5,0,0
2024/05/16,00:05,4,0,01F0584N,01F0557N,31,100,41
2024/05/16,00:05,4,0,01F0584N,01F0557N,32,100,14
2024/05/16,00:05,4,0,01F0584N,01F0557N,41,86,1
2024/05/16,00:05,4,0,01F0584N,01F0557N,42,93,5
2024/05/16,00:05,4,0,01F0584N,01F0557N,5,90,11
2024/05/16,00:05,4,0,01F0633N,01F0584N,31,100,39
2024/05/16,00:05,4,0,01F0633N,01F0584N,32,102,6
2024/05/16,00:05,4,0,01F0633N,01F0584N,41,90,1
2024/05/16,00:05,4,0,01F0633N,01F0584N,42,86,11
2024/05/16,00:05,4,0,01F0633N,01F0584N,5,93,9
2024/05/16,00:05,4,0,01F0578S,01F0633S,31,100,32
2024/05/16,00:05,4,0,01F0578S,01F0633S,32,99,14
2024/05/16,00:05,4,0,01F0578S,01F0633S,41,0,0
2024/05/16,00:05,4,0,01F0578S,01F0633S,42,95,16
