TimeInterval,Time,WeekDay,HoliDay,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,交通量
2024/05/15,00:00,3,0,01F0584N,01F0557N,31,97,36
2024/05/15,00:00,3,0,01F0584N,01F0557N,32,97,13
2024/05/15,00:00,3,0,01F0584N,01F0557N,41,97,1
2024/05/15,00:00,3,0,01F0584N,01F0557N,42,90,20
2024/05/15,00:00,3,0,01F0584N,01F0557N,5,90,15
2024/05/15,00:00,3,0,01F0633N,01F0584N,31,104,21
2024/05/15,00:00,3,0,01F0633N,01F0584N,32,100,13
2024/05/15,00:00,3,0,01F0633N,01F0584N,41,86,1
2024/05/15,00:00,3,0,01F0633N,01F0584N,42,90,15
2024/05/15,00:00,3,0,01F0633N,01F0584N,5,90,11
2024/05/15,00:00,3,0,01F0578S,01F0633S,31,97,27
2024/05/15,00:00,3,0,01F0578S,01F0633S,32,93,7
2024/05/15,00:00,3,0,01F0578S,01F0633S,41,93,1
2024/05/15,00:00,3,0,01F0578S,01F0633S,42,91,8
2024/05/15,00:00,3,0,01F0578S,01F0633S,5,90,3
2024/05/15,00:00,3,0,01F0633S,01F0664S,31,99,38
2024/05/15,00:00,3,0,01F0633S,01F0664S,32,99,10
2024/05/15,00:00,3,0,01F0633S,01F0664S,41,93,1
2024/05/15,00:00,3,0,01F0633S,01F0664S,42,86,7
2024/05/15,00:00,3,0,01F0633S,01F0664S,5,88,8
2024/05/15,00:00,3,0,01F0633N,01H0579N,31,106,8
2024/05/15,00:00,3,0,01F0633N,01H0579N,32,59,2
2024/05/15,00:00,3,0,01F0633N,01H0579N,41,0,0
2024/05/15,00:00,3,0,01F0633N,01H0579N,42,0,0
2024/05/15,00:00,3,0,01F0633N,01H0579N,5,0,0
2024/05/15,00:00,3,0,01F0578S,01H0610S,31,97,9
2024/05/15,00:00,3,0,01F0578S,01H0610S,32,93,1
2024/05/15,00:00,3,0,01F0578S,01H0610S,41,0,0
2024/05/15,00:00,3,0,01F0578S,01H0610S,42,0,0
2024/05/15,00:00,3,0,01F0578S,01H0610S,5,0,0
2024/05/15,00:05,3,0,01F0584N,01F0557N,31,102,28
2024/05/15,00:05,3,0,01F0584N,01F0557N,32,100,8
2024/05/15,00:05,3,0,01F0584N,01F0557N,41,97,2
2024/05/15,00:05,3,0,01F0584N,01F0557N,42,93,7
2024/05/15,00:05,3,0,01F0584N,01F0557N,5,90,12
2024/05/15,00:05,3,0,01F0633N,01F0584N,31,100,26
2024/05/15,00:05,3,0,01F0633N,01F0584N,32,97,11
2024/05/15,00:05,3,0,01F0633N,01F0584N,41,93,2
2024/05/15,00:05,3,0,01F0633N,01F0584N,42,93,13
2024/05/15,00:05,3,0,01F0633N,01F0584N,5,93,16
2024/05/15,00:05,3,0,01F0578S,01F0633S,31,104,27
2024/05/15,00:05,3,0,01F0578S,01F0633S,32,91,4
2024/05/15,00:05,3,0,01F0578S,01F0633S,41,93,1
2024/05/15,00:05,3,0,01F0578S,01F0633S,42,93,11
2024/05/15,00:05,3,0,01F0578S,01F0633S,5,90,17
2024/05/15,00:05,3,0,01F0633S,01F0664S,31,100,40
2024/05/15,00:05,3,0,01F0633S,01F0664S,32,91,2
2024/05/15,00:05,3,0,01F0633S,01F0664S,41,0,0
2024/05/15,00:05,3,0,01F0633S,01F0664S,42,91,12
2024/05/15,00:05,3,0,01F0633S,01F0664S,5,86,8
2024/05/15,00:05,3,0,01F0633N,01H0579N,31,104,10
2024/05/15,00:05,3,0,01F0633N,01H0579N,32,104,3
2024/05/15,00:05,3,0,01F0633N,01H0579N,41,90,1
2024/05/15,00:05,3,0,01F0633N,01H0579N,42,0,0
2024/05/15,00:05,3,0,01F0633N,01H0579N,5,0,0
2024/05/15,00:05,3,0,01F0578S,01H0610S,31,100,13
2024/05/15,00:05,3,0,01F0578S,01H0610S,32,0,0
2024/05/15,00:05,3,0,01F0578S,01H0610S,41,0,0
2024/05/15,00:05,3,0,01F0578S,01H0610S,42,0,0
2024/05/15,00:05,3,0,01F0578S,01H0610S,5,0,0
2024/05/15,00:10,3,0,01F0584N,01F0557N,31,97,39
2024/05/15,00:10,3,0,01F0584N,01F0557N,32,97,13
2024/05/15,00:10,3,0,01F0584N,01F0557N,41,97,1
2024/05/15,00:10,3,0,01F0584N,01F0557N,42,86,8
2024/05/15,00:10,3,0,01F0584N,01F0557N,5,91,14
2024/05/15,00:10,3,0,01F0633N,01F0584N,31,99,28
2024/05/15,00:10,3,0,01F0633N,01F0584N,32,100,11
2024/05/15,00:10,3,0,01F0633N,01F0584N,41,0,0
2024/05/15,00:10,3,0,01F0633N,01F0584N,42,93,9
2024/05/15,00:10,3,0,01F0633N,01F0584N,5,90,14
2024/05/15,00:10,3,0,01F0578S,01F0633S,31,100,32
2024/05/15,00:10,3,0,01F0578S,01F0633S,32,93,6
2024/05/15,00:10,3,0,01F0578S,01F0633S,41,0,0
2024/05/15,00:10,3,0,01F0578S,01F0633S,42,97,9
2024/05/15,00:10,3,0,01F0578S,01F0633S,5,86,15
2024/05/15,00:10,3,0,01F0633S,01F0664S,31,99,30
2024/05/15,00:10,3,0,01F0633S,01F0664S,32,99,6
2024/05/15,00:10,3,0,01F0633S,01F0664S,41,93,1
2024/05/15,00:10,3,0,01F0633S,01F0664S,42,95,12
2024/05/15,00:10,3,0,01F0633S,01F0664S,5,86,14
2024/05/15,00:10,3,0,01F0633N,01H0579N,31,106,6
2024/05/15,00:10,3,0,01F0633N,01H0579N,32,93,3
2024/05/15,00:10,3,0,01F0633N,01H0579N,41,90,1
2024/05/15,00:10,3,0,01F0633N,01H0579N,42,0,0
2024/05/15,00:10,3,0,01F0633N,01H0579N,5,0,0
2024/05/15,00:10,3,0,01F0578S,01H0610S,31,102,6
2024/05/15,00:10,3,0,01F0578S,01H0610S,32,88,4
2024/05/15,00:10,3,0,01F0578S,01H0610S,41,0,0
2024/05/15,00:10,3,0,01F0578S,01H0610S,42,0,0
2024/05/15,00:10,3,0,01F0578S,01H0610S,5,0,0
2024/05/15,00:15,3,0,01F0584N,01F0557N,31,97,36
2024/05/15,00:15,3,0,01F0584N,01F0557N,32,97,14
2024/05/15,00:15,3,0,01F0584N,01F0557N,41,0,0
2024/05/15,00:15,3,0,01F0584N,01F0557N,42,97,17
2024/05/15,00:15,3,0,01F0584N,01F0557N,5,86,12
2024/05/15,00:15,3,0,01F0633N,01F0584N,31,100,29
2024/05/15,00:15,3,0,01F0633N,01F0584N,32,97,16
2024/05/15,00:15,3,0,01F0633N,01F0584N,41,97,1
2024/05/15,00:15,3,0,01F0633N,01F0584N,42,95,14
2024/05/15,00:15,3,0,01F0633N,01F0584N,5,86,12
2024/05/15,00:15,3,0,01F0578S,01F0633S,31,100,25
2024/05/15,00:15,3,0,01F0578S,01F0633S,32,86,5
2024/05/15,00:15,3,0,01F0578S,01F0633S,41,0,0
2024/05/15,00:15,3,0,01F0578S,01F0633S,42,97,19
2024/05/15,00:15,3,0,01F0578S,01F0633S,5,90,19
2024/05/15,00:15,3,0,01F0633S,01F0664S,31,100,28
2024/05/15,00:15,3,0,01F0633S,01F0664S,32,93,5
2024/05/15,00:15,3,0,01F0633S,01F0664S,41,0,0
2024/05/15,00:15,3,0,01F0633S,01F0664S,42,97,11
2024/05/15,00:15,3,0,01F0633S,01F0664S,5,88,20
2024/05/15,00:15,3,0,01F0633N,01H0579N,31,100,6
2024/05/15,00:15,3,0,01F0633N,01H0579N,32,0,0
2024/05/15,00:15,3,0,01F0633N,01H0579N,41,0,0
2024/05/15,00:15,3,0,01F0633N,01H0579N,42,0,0
2024/05/15,00:15,3,0,01F0633N,01H0579N,5,0,0
2024/05/15,00:15,3,0,01F0578S,01H0610S,31,97,10
2024/05/15,00:15,3,0,01F0578S,01H0610S,32,97,2
2024/05/15,00:15,3,0,01F0578S,01H0610S,41,0,0
