TimeInterval,Time,WeekDay,HoliDay,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,交通量
2024/05/06,00:00,1,0,01F0584N,01F0557N,31,100,74
2024/05/06,00:00,1,0,01F0584N,01F0557N,32,97,10
2024/05/06,00:00,1,0,01F0584N,01F0557N,41,93,3
2024/05/06,00:00,1,0,01F0584N,01F0557N,42,100,3
2024/05/06,00:00,1,0,01F0584N,01F0557N,5,82,3
2024/05/06,00:00,1,0,01F0633N,01F0584N,31,100,52
2024/05/06,00:00,1,0,01F0633N,01F0584N,32,95,10
2024/05/06,00:00,1,0,01F0633N,01F0584N,41,57,2
2024/05/06,00:00,1,0,01F0633N,01F0584N,42,82,6
2024/05/06,00:00,1,0,01F0633N,01F0584N,5,90,4
2024/05/06,00:00,1,0,01F0578S,01F0633S,31,97,39
2024/05/06,00:00,1,0,01F0578S,01F0633S,32,102,6
2024/05/06,00:00,1,0,01F0578S,01F0633S,41,90,1
2024/05/06,00:00,1,0,01F0578S,01F0633S,42,88,2
2024/05/06,00:00,1,0,01F0578S,01F0633S,5,79,3
2024/05/06,00:00,1,0,01F0633S,01F0664S,31,100,51
2024/05/06,00:00,1,0,01F0633S,01F0664S,32,97,10
2024/05/06,00:00,1,0,01F0633S,01F0664S,41,90,1
2024/05/06,00:00,1,0,01F0633S,01F0664S,42,88,6
2024/05/06,00:00,1,0,01F0633S,01F0664S,5,75,3
2024/05/06,00:00,1,0,01F0633N,01H0579N,31,100,11
2024/05/06,00:00,1,0,01F0633N,01H0579N,32,86,1
2024/05/06,00:00,1,0,01F0633N,01H0579N,41,0,0
2024/05/06,00:00,1,0,01F0633N,01H0579N,42,0,0
2024/05/06,00:00,1,0,01F0633N,01H0579N,5,0,0
2024/05/06,00:00,1,0,01F0578S,01H0610S,31,100,11
2024/05/06,00:00,1,0,01F0578S,01H0610S,32,90,3
2024/05/06,00:00,1,0,01F0578S,01H0610S,41,0,0
2024/05/06,00:00,1,0,01F0578S,01H0610S,42,100,2
2024/05/06,00:00,1,0,01F0578S,01H0610S,5,0,0
2024/05/06,00:05,1,0,01F0584N,01F0557N,31,100,62
2024/05/06,00:05,1,0,01F0584N,01F0557N,32,100,11
2024/05/06,00:05,1,0,01F0584N,01F0557N,41,97,2
2024/05/06,00:05,1,0,01F0584N,01F0557N,42,84,4
2024/05/06,00:05,1,0,01F0584N,01F0557N,5,90,8
2024/05/06,00:05,1,0,01F0633N,01F0584N,31,100,57
2024/05/06,00:05,1,0,01F0633N,01F0584N,32,97,9
2024/05/06,00:05,1,0,01F0633N,01F0584N,41,97,3
2024/05/06,00:05,1,0,01F0633N,01F0584N,42,86,4
2024/05/06,00:05,1,0,01F0633N,01F0584N,5,88,6
2024/05/06,00:05,1,0,01F0578S,01F0633S,31,104,34
2024/05/06,00:05,1,0,01F0578S,01F0633S,32,99,6
2024/05/06,00:05,1,0,01F0578S,01F0633S,41,93,1
2024/05/06,00:05,1,0,01F0578S,01F0633S,42,90,3
