TimeInterval,Time,WeekDay,HoliDay,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,交通量
2024/05/29,00:00,3,0,01F0584N,01F0557N,31,97,42
2024/05/29,00:00,3,0,01F0584N,01F0557N,32,93,11
2024/05/29,00:00,3,0,01F0584N,01F0557N,41,95,2
2024/05/29,00:00,3,0,01F0584N,01F0557N,42,86,15
2024/05/29,00:00,3,0,01F0584N,01F0557N,5,86,11
2024/05/29,00:00,3,0,01F0633N,01F0584N,31,100,39
2024/05/29,00:00,3,0,01F0633N,01F0584N,32,97,13
2024/05/29,00:00,3,0,01F0633N,01F0584N,41,90,1
2024/05/29,00:00,3,0,01F0633N,01F0584N,42,93,11
2024/05/29,00:00,3,0,01F0633N,01F0584N,5,86,16
2024/05/29,00:00,3,0,01F0578S,01F0633S,31,100,24
2024/05/29,00:00,3,0,01F0578S,01F0633S,32,90,6
2024/05/29,00:00,3,0,01F0578S,01F0633S,41,0,0
2024/05/29,00:00,3,0,01F0578S,01F0633S,42,88,12
2024/05/29,00:00,3,0,01F0578S,01F0633S,5,88,8
2024/05/29,00:00,3,0,01F0633S,01F0664S,31,100,38
2024/05/29,00:00,3,0,01F0633S,01F0664S,32,97,8
2024/05/29,00:00,3,0,01F0633S,01F0664S,41,0,0
2024/05/29,00:00,3,0,01F0633S,01F0664S,42,86,10
2024/05/29,00:00,3,0,01F0633S,01F0664S,5,86,14
2024/05/29,00:00,3,0,01F0633N,01H0579N,31,90,4
2024/05/29,00:00,3,0,01F0633N,01H0579N,32,18,1
2024/05/29,00:00,3,0,01F0633N,01H0579N,41,0,0
2024/05/29,00:00,3,0,01F0633N,01H0579N,42,0,0
2024/05/29,00:00,3,0,01F0633N,01H0579N,5,0,0
2024/05/29,00:00,3,0,01F0578S,01H0610S,31,93,5
2024/05/29,00:00,3,0,01F0578S,01H0610S,32,108,1
2024/05/29,00:00,3,0,01F0578S,01H0610S,41,0,0
