TimeInterval,Time,WeekDay,HoliDay,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,交通量
2024/05/31,00:00,5,0,01F0584N,01F0557N,31,100,42
2024/05/31,00:00,5,0,01F0584N,01F0557N,32,97,5
2024/05/31,00:00,5,0,01F0584N,01F0557N,41,90,2
2024/05/31,00:00,5,0,01F0584N,01F0557N,42,102,8
2024/05/31,00:00,5,0,01F0584N,01F0557N,5,86,17
2024/05/31,00:00,5,0,01F0633N,01F0584N,31,104,31
2024/05/31,00:00,5,0,01F0633N,01F0584N,32,100,7
2024/05/31,00:00,5,0,01F0633N,01F0584N,41,0,0
2024/05/31,00:00,5,0,01F0633N,01F0584N,42,90,9
2024/05/31,00:00,5,0,01F0633N,01F0584N,5,86,16
2024/05/31,00:00,5,0,01F0578S,01F0633S,31,104,26
2024/05/31,00:00,5,0,01F0578S,01F0633S,32,97,5
2024/05/31,00:00,5,0,01F0578S,01F0633S,41,79,1
2024/05/31,00:00,5,0,01F0578S,01F0633S,42,90,8
2024/05/31,00:00,5,0,01F0578S,01F0633S,5,82,16
2024/05/31,00:00,5,0,01F0633S,01F0664S,31,100,30
2024/05/31,00:00,5,0,01F0633S,01F0664S,32,93,4
2024/05/31,00:00,5,0,01F0633S,01F0664S,41,79,1
2024/05/31,00:00,5,0,01F0633S,01F0664S,42,90,11
2024/05/31,00:00,5,0,01F0633S,01F0664S,5,82,13
2024/05/31,00:00,5,0,01F0633N,01H0579N,31,104,3
2024/05/31,00:00,5,0,01F0633N,01H0579N,32,0,0
2024/05/31,00:00,5,0,01F0633N,01H0579N,41,0,0
2024/05/31,00:00,5,0,01F0633N,01H0579N,42,0,0
2024/05/31,00:00,5,0,01F0633N,01H0579N,5,0,0
2024/05/31,00:00,5,0,01F0578S,01H0610S,31,93,11
2024/05/31,00:00,5,0,01F0578S,01H0610S,32,100,5
2024/05/31,00:00,5,0,01F0578S,01H0610S,41,0,0
2024/05/31,00:00,5,0,01F0578S,01H0610S,42,86,1
2024/05/31,00:00,5,0,01F0578S,01H0610S,5,0,0
2024/05/31,00:05,5,0,01F0584N,01F0557N,31,100,35
