TimeInterval,Time,WeekDay,HoliDay,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,交通量
2024/05/12,00:00,0,1,01F0584N,01F0557N,31,100,75
2024/05/12,00:00,0,1,01F0584N,01F0557N,32,100,15
2024/05/12,00:00,0,1,01F0584N,01F0557N,41,97,1
2024/05/12,00:00,0,1,01F0584N,01F0557N,42,90,7
2024/05/12,00:00,0,1,01F0584N,01F0557N,5,90,7
2024/05/12,00:00,0,1,01F0633N,01F0584N,31,100,50
2024/05/12,00:00,0,1,01F0633N,01F0584N,32,100,13
2024/05/12,00:00,0,1,01F0633N,01F0584N,41,97,1
2024/05/12,00:00,0,1,01F0633N,01F0584N,42,90,9
2024/05/12,00:00,0,1,01F0633N,01F0584N,5,90,7
2024/05/12,00:00,0,1,01F0578S,01F0633S,31,100,47
2024/05/12,00:00,0,1,01F0578S,01F0633S,32,93,11
2024/05/12,00:00,0,1,01F0578S,01F0633S,41,0,0
2024/05/12,00:00,0,1,01F0578S,01F0633S,42,90,11
2024/05/12,00:00,0,1,01F0578S,01F0633S,5,86,5
2024/05/12,00:00,0,1,01F0633S,01F0664S,31,100,69
2024/05/12,00:00,0,1,01F0633S,01F0664S,32,97,11
2024/05/12,00:00,0,1,01F0633S,01F0664S,41,0,0
2024/05/12,00:00,0,1,01F0633S,01F0664S,42,95,8
2024/05/12,00:00,0,1,01F0633S,01F0664S,5,82,5
2024/05/12,00:00,0,1,01F0633N,01H0579N,31,100,13
2024/05/12,00:00,0,1,01F0633N,01H0579N,32,95,2
2024/05/12,00:00,0,1,01F0633N,01H0579N,41,0,0
2024/05/12,00:00,0,1,01F0633N,01H0579N,42,0,0
2024/05/12,00:00,0,1,01F0633N,01H0579N,5,0,0
2024/05/12,00:00,0,1,01F0578S,01H0610S,31,97,14
2024/05/12,00:00,0,1,01F0578S,01H0610S,32,111,1
2024/05/12,00:00,0,1,01F0578S,01H0610S,41,0,0
