TimeInterval,Time,WeekDay,HoliDay,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,交通量
2024/05/11,00:00,6,1,01F0584N,01F0557N,31,100,58
2024/05/11,00:00,6,1,01F0584N,01F0557N,32,99,16
2024/05/11,00:00,6,1,01F0584N,01F0557N,41,97,1
2024/05/11,00:00,6,1,01F0584N,01F0557N,42,90,7
2024/05/11,00:00,6,1,01F0584N,01F0557N,5,90,14
2024/05/11,00:00,6,1,01F0633N,01F0584N,31,104,50
2024/05/11,00:00,6,1,01F0633N,01F0584N,32,99,14
2024/05/11,00:00,6,1,01F0633N,01F0584N,41,97,1
2024/05/11,00:00,6,1,01F0633N,01F0584N,42,95,8
2024/05/11,00:00,6,1,01F0633N,01F0584N,5,93,12
2024/05/11,00:00,6,1,01F0578S,01F0633S,31,100,62
2024/05/11,00:00,6,1,01F0578S,01F0633S,32,91,14
2024/05/11,00:00,6,1,01F0578S,01F0633S,41,0,0
2024/05/11,00:00,6,1,01F0578S,01F0633S,42,86,10
2024/05/11,00:00,6,1,01F0578S,01F0633S,5,86,12
2024/05/11,00:00,6,1,01F0633S,01F0664S,31,100,85
2024/05/11,00:00,6,1,01F0633S,01F0664S,32,97,11
2024/05/11,00:00,6,1,01F0633S,01F0664S,41,93,1
2024/05/11,00:00,6,1,01F0633S,01F0664S,42,93,7
2024/05/11,00:00,6,1,01F0633S,01F0664S,5,86,12
2024/05/11,00:00,6,1,01F0633N,01H0579N,31,97,12
2024/05/11,00:00,6,1,01F0633N,01H0579N,32,90,5
2024/05/11,00:00,6,1,01F0633N,01H0579N,41,0,0
2024/05/11,00:00,6,1,01F0633N,01H0579N,42,0,0
2024/05/11,00:00,6,1,01F0633N,01H0579N,5,0,0
2024/05/11,00:00,6,1,01F0578S,01H0610S,31,97,17
2024/05/11,00:00,6,1,01F0578S,01H0610S,32,86,2
2024/05/11,00:00,6,1,01F0578S,01H0610S,41,0,0
2024/05/11,00:00,6,1,01F0578S,01H0610S,42,0,0
2024/05/11,00:00,6,1,01F0578S,01H0610S,5,0,0
2024/05/11,00:05,6,1,01F0584N,01F0557N,31,100,59
2024/05/11,00:05,6,1,01F0584N,01F0557N,32,97,17
2024/05/11,00:05,6,1,01F0584N,01F0557N,41,93,2
2024/05/11,00:05,6,1,01F0584N,01F0557N,42,97,9
2024/05/11,00:05,6,1,01F0584N,01F0557N,5,91,14
2024/05/11,00:05,6,1,01F0633N,01F0584N,31,100,42
