TimeInterval,Time,WeekDay,HoliDay,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,交通量
2024/05/26,00:00,0,1,01F0584N,01F0557N,31,100,80
2024/05/26,00:00,0,1,01F0584N,01F0557N,32,97,9
2024/05/26,00:00,0,1,01F0584N,01F0557N,41,93,2
2024/05/26,00:00,0,1,01F0584N,01F0557N,42,97,5
2024/05/26,00:00,0,1,01F0584N,01F0557N,5,86,4
2024/05/26,00:00,0,1,01F0633N,01F0584N,31,100,54
2024/05/26,00:00,0,1,01F0633N,01F0584N,32,99,6
2024/05/26,00:00,0,1,01F0633N,01F0584N,41,100,2
2024/05/26,00:00,0,1,01F0633N,01F0584N,42,100,7
2024/05/26,00:00,0,1,01F0633N,01F0584N,5,77,4
2024/05/26,00:00,0,1,01F0578S,01F0633S,31,99,38
2024/05/26,00:00,0,1,01F0578S,01F0633S,32,97,6
2024/05/26,00:00,0,1,01F0578S,01F0633S,41,93,1
2024/05/26,00:00,0,1,01F0578S,01F0633S,42,86,5
2024/05/26,00:00,0,1,01F0578S,01F0633S,5,73,6
2024/05/26,00:00,0,1,01F0633S,01F0664S,31,100,57
2024/05/26,00:00,0,1,01F0633S,01F0664S,32,99,8
2024/05/26,00:00,0,1,01F0633S,01F0664S,41,86,1
2024/05/26,00:00,0,1,01F0633S,01F0664S,42,81,6
2024/05/26,00:00,0,1,01F0633S,01F0664S,5,93,3
2024/05/26,00:00,0,1,01F0633N,01H0579N,31,100,13
2024/05/26,00:00,0,1,01F0633N,01H0579N,32,93,2
2024/05/26,00:00,0,1,01F0633N,01H0579N,41,0,0
2024/05/26,00:00,0,1,01F0633N,01H0579N,42,0,0
2024/05/26,00:00,0,1,01F0633N,01H0579N,5,0,0
2024/05/26,00:00,0,1,01F0578S,01H0610S,31,99,10
2024/05/26,00:00,0,1,01F0578S,01H0610S,32,84,2
2024/05/26,00:00,0,1,01F0578S,01H0610S,41,0,0
2024/05/26,00:00,0,1,01F0578S,01H0610S,42,0,0
2024/05/26,00:00,0,1,01F0578S,01H0610S,5,0,0
2024/05/26,00:05,0,1,01F0584N,01F0557N,31,100,63
2024/05/26,00:05,0,1,01F0584N,01F0557N,32,99,12
2024/05/26,00:05,0,1,01F0584N,01F0557N,41,100,2
2024/05/26,00:05,0,1,01F0584N,01F0557N,42,108,5
2024/05/26,00:05,0,1,01F0584N,01F0557N,5,82,4
2024/05/26,00:05,0,1,01F0633N,01F0584N,31,100,43
2024/05/26,00:05,0,1,01F0633N,01F0584N,32,100,14
2024/05/26,00:05,0,1,01F0633N,01F0584N,41,14,1
2024/05/26,00:05,0,1,01F0633N,01F0584N,42,75,4
2024/05/26,00:05,0,1,01F0633N,01F0584N,5,79,5
2024/05/26,00:05,0,1,01F0578S,01F0633S,31,99,60
2024/05/26,00:05,0,1,01F0578S,01F0633S,32,95,6
2024/05/26,00:05,0,1,01F0578S,01F0633S,41,0,0
2024/05/26,00:05,0,1,01F0578S,01F0633S,42,97,5
2024/05/26,00:05,0,1,01F0578S,01F0633S,5,90,7
2024/05/26,00:05,0,1,01F0633S,01F0664S,31,100,70
2024/05/26,00:05,0,1,01F0633S,01F0664S,32,90,6
2024/05/26,00:05,0,1,01F0633S,01F0664S,41,0,0
2024/05/26,00:05,0,1,01F0633S,01F0664S,42,93,6
2024/05/26,00:05,0,1,01F0633S,01F0664S,5,86,5
2024/05/26,00:05,0,1,01F0633N,01H0579N,31,97,9
2024/05/26,00:05,0,1,01F0633N,01H0579N,32,100,3
2024/05/26,00:05,0,1,01F0633N,01H0579N,41,0,0
2024/05/26,00:05,0,1,01F0633N,01H0579N,42,0,0
2024/05/26,00:05,0,1,01F0633N,01H0579N,5,0,0
2024/05/26,00:05,0,1,01F0578S,01H0610S,31,100,11
2024/05/26,00:05,0,1,01F0578S,01H0610S,32,0,0
2024/05/26,00:05,0,1,01F0578S,01H0610S,41,0,0
2024/05/26,00:05,0,1,01F0578S,01H0610S,42,0,0
2024/05/26,00:05,0,1,01F0578S,01H0610S,5,0,0
2024/05/26,00:10,0,1,01F0584N,01F0557N,31,97,73
2024/05/26,00:10,0,1,01F0584N,01F0557N,32,100,17
2024/05/26,00:10,0,1,01F0584N,01F0557N,41,0,0
2024/05/26,00:10,0,1,01F0584N,01F0557N,42,99,4
2024/05/26,00:10,0,1,01F0584N,01F0557N,5,93,1
2024/05/26,00:10,0,1,01F0633N,01F0584N,31,100,59
2024/05/26,00:10,0,1,01F0633N,01F0584N,32,97,15
2024/05/26,00:10,0,1,01F0633N,01F0584N,41,0,0
2024/05/26,00:10,0,1,01F0633N,01F0584N,42,93,7
2024/05/26,00:10,0,1,01F0633N,01F0584N,5,7,3
2024/05/26,00:10,0,1,01F0578S,01F0633S,31,100,48
