TimeInterval,Time,WeekDay,HoliDay,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,交通量
2024/05/19,00:00,0,1,01F0584N,01F0557N,31,100,82
2024/05/19,00:00,0,1,01F0584N,01F0557N,32,97,15
2024/05/19,00:00,0,1,01F0584N,01F0557N,41,97,1
2024/05/19,00:00,0,1,01F0584N,01F0557N,42,72,2
2024/05/19,00:00,0,1,01F0584N,01F0557N,5,79,7
2024/05/19,00:00,0,1,01F0633N,01F0584N,31,100,69
2024/05/19,00:00,0,1,01F0633N,01F0584N,32,99,12
2024/05/19,00:00,0,1,01F0633N,01F0584N,41,93,3
2024/05/19,00:00,0,1,01F0633N,01F0584N,42,97,4
2024/05/19,00:00,0,1,01F0633N,01F0584N,5,75,7
2024/05/19,00:00,0,1,01F0578S,01F0633S,31,100,63
2024/05/19,00:00,0,1,01F0578S,01F0633S,32,100,8
2024/05/19,00:00,0,1,01F0578S,01F0633S,41,0,0
2024/05/19,00:00,0,1,01F0578S,01F0633S,42,90,7
2024/05/19,00:00,0,1,01F0578S,01F0633S,5,90,8
2024/05/19,00:00,0,1,01F0633S,01F0664S,31,97,60
2024/05/19,00:00,0,1,01F0633S,01F0664S,32,100,14
2024/05/19,00:00,0,1,01F0633S,01F0664S,41,0,0
2024/05/19,00:00,0,1,01F0633S,01F0664S,42,86,9
2024/05/19,00:00,0,1,01F0633S,01F0664S,5,93,5
2024/05/19,00:00,0,1,01F0633N,01H0579N,31,104,13
2024/05/19,00:00,0,1,01F0633N,01H0579N,32,93,3
2024/05/19,00:00,0,1,01F0633N,01H0579N,41,0,0
2024/05/19,00:00,0,1,01F0633N,01H0579N,42,0,0
2024/05/19,00:00,0,1,01F0633N,01H0579N,5,0,0
2024/05/19,00:00,0,1,01F0578S,01H0610S,31,104,14
2024/05/19,00:00,0,1,01F0578S,01H0610S,32,93,3
2024/05/19,00:00,0,1,01F0578S,01H0610S,41,0,0
2024/05/19,00:00,0,1,01F0578S,01H0610S,42,0,0
2024/05/19,00:00,0,1,01F0578S,01H0610S,5,0,0
2024/05/19,00:05,0,1,01F0584N,01F0557N,31,100,83
2024/05/19,00:05,0,1,01F0584N,01F0557N,32,100,17
2024/05/19,00:05,0,1,01F0584N,01F0557N,41,95,4
2024/05/19,00:05,0,1,01F0584N,01F0557N,42,104,8
2024/05/19,00:05,0,1,01F0584N,01F0557N,5,104,1
2024/05/19,00:05,0,1,01F0633N,01F0584N,31,104,48
2024/05/19,00:05,0,1,01F0633N,01F0584N,32,102,12
2024/05/19,00:05,0,1,01F0633N,01F0584N,41,61,2
2024/05/19,00:05,0,1,01F0633N,01F0584N,42,93,9
2024/05/19,00:05,0,1,01F0633N,01F0584N,5,75,3
2024/05/19,00:05,0,1,01F0578S,01F0633S,31,97,51
2024/05/19,00:05,0,1,01F0578S,01F0633S,32,97,13
