TimeInterval,Time,WeekDay,HoliDay,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,交通量
2024/05/05,00:00,0,1,01F0584N,01F0557N,31,100,98
2024/05/05,00:00,0,1,01F0584N,01F0557N,32,97,17
2024/05/05,00:00,0,1,01F0584N,01F0557N,41,97,1
2024/05/05,00:00,0,1,01F0584N,01F0557N,42,97,4
2024/05/05,00:00,0,1,01F0584N,01F0557N,5,82,4
2024/05/05,00:00,0,1,01F0633N,01F0584N,31,104,54
2024/05/05,00:00,0,1,01F0633N,01F0584N,32,100,12
2024/05/05,00:00,0,1,01F0633N,01F0584N,41,97,3
2024/05/05,00:00,0,1,01F0633N,01F0584N,42,55,4
2024/05/05,00:00,0,1,01F0633N,01F0584N,5,18,3
2024/05/05,00:00,0,1,01F0578S,01F0633S,31,97,49
2024/05/05,00:00,0,1,01F0578S,01F0633S,32,93,3
2024/05/05,00:00,0,1,01F0578S,01F0633S,41,0,0
2024/05/05,00:00,0,1,01F0578S,01F0633S,42,86,7
2024/05/05,00:00,0,1,01F0578S,01F0633S,5,90,3
2024/05/05,00:00,0,1,01F0633S,01F0664S,31,97,67
2024/05/05,00:00,0,1,01F0633S,01F0664S,32,99,8
2024/05/05,00:00,0,1,01F0633S,01F0664S,41,0,0
2024/05/05,00:00,0,1,01F0633S,01F0664S,42,82,5
2024/05/05,00:00,0,1,01F0633S,01F0664S,5,93,1
2024/05/05,00:00,0,1,01F0633N,01H0579N,31,102,8
2024/05/05,00:00,0,1,01F0633N,01H0579N,32,97,1
2024/05/05,00:00,0,1,01F0633N,01H0579N,41,0,0
2024/05/05,00:00,0,1,01F0633N,01H0579N,42,0,0
2024/05/05,00:00,0,1,01F0633N,01H0579N,5,0,0
2024/05/05,00:00,0,1,01F0578S,01H0610S,31,100,13
2024/05/05,00:00,0,1,01F0578S,01H0610S,32,100,1
2024/05/05,00:00,0,1,01F0578S,01H0610S,41,0,0
2024/05/05,00:00,0,1,01F0578S,01H0610S,42,0,0
2024/05/05,00:00,0,1,01F0578S,01H0610S,5,0,0
2024/05/05,00:05,0,1,01F0584N,01F0557N,31,100,86
2024/05/05,00:05,0,1,01F0584N,01F0557N,32,100,13
2024/05/05,00:05,0,1,01F0584N,01F0557N,41,99,2
2024/05/05,00:05,0,1,01F0584N,01F0557N,42,93,4
2024/05/05,00:05,0,1,01F0584N,01F0557N,5,90,5
2024/05/05,00:05,0,1,01F0633N,01F0584N,31,100,70
2024/05/05,00:05,0,1,01F0633N,01F0584N,32,100,12
2024/05/05,00:05,0,1,01F0633N,01F0584N,41,0,0
2024/05/05,00:05,0,1,01F0633N,01F0584N,42,95,8
2024/05/05,00:05,0,1,01F0633N,01F0584N,5,77,8
2024/05/05,00:05,0,1,01F0578S,01F0633S,31,100,53
2024/05/05,00:05,0,1,01F0578S,01F0633S,32,97,7
2024/05/05,00:05,0,1,01F0578S,01F0633S,41,93,1
2024/05/05,00:05,0,1,01F0578S,01F0633S,42,90,4
2024/05/05,00:05,0,1,01F0578S,01F0633S,5,86,5
2024/05/05,00:05,0,1,01F0633S,01F0664S,31,99,64
2024/05/05,00:05,0,1,01F0633S,01F0664S,32,106,8
2024/05/05,00:05,0,1,01F0633S,01F0664S,41,0,0
2024/05/05,00:05,0,1,01F0633S,01F0664S,42,90,5
2024/05/05,00:05,0,1,01F0633S,01F0664S,5,88,6
2024/05/05,00:05,0,1,01F0633N,01H0579N,31,100,10
2024/05/05,00:05,0,1,01F0633N,01H0579N,32,93,5
2024/05/05,00:05,0,1,01F0633N,01H0579N,41,0,0
2024/05/05,00:05,0,1,01F0633N,01H0579N,42,0,0
2024/05/05,00:05,0,1,01F0633N,01H0579N,5,0,0
2024/05/05,00:05,0,1,01F0578S,01H0610S,31,97,11
2024/05/05,00:05,0,1,01F0578S,01H0610S,32,86,3
2024/05/05,00:05,0,1,01F0578S,01H0610S,41,0,0
2024/05/05,00:05,0,1,01F0578S,01H0610S,42,0,0
2024/05/05,00:05,0,1,01F0578S,01H0610S,5,0,0
2024/05/05,00:10,0,1,01F0584N,01F0557N,31,100,63
2024/05/05,00:10,0,1,01F0584N,01F0557N,32,97,11
2024/05/05,00:10,0,1,01F0584N,01F0557N,41,104,1
2024/05/05,00:10,0,1,01F0584N,01F0557N,42,97,6
2024/05/05,00:10,0,1,01F0584N,01F0557N,5,82,2
2024/05/05,00:10,0,1,01F0633N,01F0584N,31,104,45
2024/05/05,00:10,0,1,01F0633N,01F0584N,32,97,9
2024/05/05,00:10,0,1,01F0633N,01F0584N,41,102,2
2024/05/05,00:10,0,1,01F0633N,01F0584N,42,90,1
2024/05/05,00:10,0,1,01F0633N,01F0584N,5,16,2
2024/05/05,00:10,0,1,01F0578S,01F0633S,31,97,43
2024/05/05,00:10,0,1,01F0578S,01F0633S,32,93,13
2024/05/05,00:10,0,1,01F0578S,01F0633S,41,28,1
2024/05/05,00:10,0,1,01F0578S,01F0633S,42,88,6
2024/05/05,00:10,0,1,01F0578S,01F0633S,5,88,6
2024/05/05,00:10,0,1,01F0633S,01F0664S,31,97,58
2024/05/05,00:10,0,1,01F0633S,01F0664S,32,95,6
2024/05/05,00:10,0,1,01F0633S,01F0664S,41,93,2
2024/05/05,00:10,0,1,01F0633S,01F0664S,42,90,6
2024/05/05,00:10,0,1,01F0633S,01F0664S,5,86,4
2024/05/05,00:10,0,1,01F0633N,01H0579N,31,100,13
2024/05/05,00:10,0,1,01F0633N,01H0579N,32,86,3
2024/05/05,00:10,0,1,01F0633N,01H0579N,41,0,0
2024/05/05,00:10,0,1,01F0633N,01H0579N,42,0,0
2024/05/05,00:10,0,1,01F0633N,01H0579N,5,0,0
2024/05/05,00:10,0,1,01F0578S,01H0610S,31,93,11
2024/05/05,00:10,0,1,01F0578S,01H0610S,32,100,1
2024/05/05,00:10,0,1,01F0578S,01H0610S,41,0,0
2024/05/05,00:10,0,1,01F0578S,01H0610S,42,0,0
2024/05/05,00:10,0,1,01F0578S,01H0610S,5,0,0
2024/05/05,00:15,0,1,01F0584N,01F0557N,31,100,60
