TimeInterval,Time,WeekDay,HoliDay,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,交通量
2024/05/22,00:00,3,0,01F0584N,01F0557N,31,97,43
2024/05/22,00:00,3,0,01F0584N,01F0557N,32,97,15
2024/05/22,00:00,3,0,01F0584N,01F0557N,41,93,1
2024/05/22,00:00,3,0,01F0584N,01F0557N,42,97,13
2024/05/22,00:00,3,0,01F0584N,01F0557N,5,90,13
2024/05/22,00:00,3,0,01F0633N,01F0584N,31,100,41
2024/05/22,00:00,3,0,01F0633N,01F0584N,32,97,15
2024/05/22,00:00,3,0,01F0633N,01F0584N,41,90,1
2024/05/22,00:00,3,0,01F0633N,01F0584N,42,90,25
2024/05/22,00:00,3,0,01F0633N,01F0584N,5,88,18
2024/05/22,00:00,3,0,01F0578S,01F0633S,31,104,35
2024/05/22,00:00,3,0,01F0578S,01F0633S,32,100,10
2024/05/22,00:00,3,0,01F0578S,01F0633S,41,97,1
2024/05/22,00:00,3,0,01F0578S,01F0633S,42,90,13
2024/05/22,00:00,3,0,01F0578S,01F0633S,5,88,12
2024/05/22,00:00,3,0,01F0633S,01F0664S,31,100,39
2024/05/22,00:00,3,0,01F0633S,01F0664S,32,99,12
2024/05/22,00:00,3,0,01F0633S,01F0664S,41,93,1
2024/05/22,00:00,3,0,01F0633S,01F0664S,42,88,12
2024/05/22,00:00,3,0,01F0633S,01F0664S,5,90,14
2024/05/22,00:00,3,0,01F0633N,01H0579N,31,109,4
2024/05/22,00:00,3,0,01F0633N,01H0579N,32,0,0
2024/05/22,00:00,3,0,01F0633N,01H0579N,41,0,0
2024/05/22,00:00,3,0,01F0633N,01H0579N,42,0,0
2024/05/22,00:00,3,0,01F0633N,01H0579N,5,0,0
2024/05/22,00:00,3,0,01F0578S,01H0610S,31,100,10
2024/05/22,00:00,3,0,01F0578S,01H0610S,32,99,2
2024/05/22,00:00,3,0,01F0578S,01H0610S,41,0,0
2024/05/22,00:00,3,0,01F0578S,01H0610S,42,0,0
2024/05/22,00:00,3,0,01F0578S,01H0610S,5,0,0
2024/05/22,00:05,3,0,01F0584N,01F0557N,31,100,39
2024/05/22,00:05,3,0,01F0584N,01F0557N,32,99,12
2024/05/22,00:05,3,0,01F0584N,01F0557N,41,93,1
2024/05/22,00:05,3,0,01F0584N,01F0557N,42,90,16
2024/05/22,00:05,3,0,01F0584N,01F0557N,5,84,12
2024/05/22,00:05,3,0,01F0633N,01F0584N,31,104,34
2024/05/22,00:05,3,0,01F0633N,01F0584N,32,97,10
2024/05/22,00:05,3,0,01F0633N,01F0584N,41,0,0
2024/05/22,00:05,3,0,01F0633N,01F0584N,42,93,9
2024/05/22,00:05,3,0,01F0633N,01F0584N,5,88,20
2024/05/22,00:05,3,0,01F0578S,01F0633S,31,100,35
2024/05/22,00:05,3,0,01F0578S,01F0633S,32,93,4
