TimeInterval,Time,WeekDay,HoliDay,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,交通量
2024/05/25,00:00,6,1,01F0584N,01F0557N,31,100,60
2024/05/25,00:00,6,1,01F0584N,01F0557N,32,95,16
2024/05/25,00:00,6,1,01F0584N,01F0557N,41,91,2
2024/05/25,00:00,6,1,01F0584N,01F0557N,42,95,8
2024/05/25,00:00,6,1,01F0584N,01F0557N,5,86,21
2024/05/25,00:00,6,1,01F0633N,01F0584N,31,104,47
2024/05/25,00:00,6,1,01F0633N,01F0584N,32,97,13
2024/05/25,00:00,6,1,01F0633N,01F0584N,41,95,2
2024/05/25,00:00,6,1,01F0633N,01F0584N,42,91,10
2024/05/25,00:00,6,1,01F0633N,01F0584N,5,90,25
2024/05/25,00:00,6,1,01F0578S,01F0633S,31,97,62
2024/05/25,00:00,6,1,01F0578S,01F0633S,32,99,10
2024/05/25,00:00,6,1,01F0578S,01F0633S,41,82,1
2024/05/25,00:00,6,1,01F0578S,01F0633S,42,86,18
2024/05/25,00:00,6,1,01F0578S,01F0633S,5,88,12
2024/05/25,00:00,6,1,01F0633S,01F0664S,31,97,59
2024/05/25,00:00,6,1,01F0633S,01F0664S,32,97,10
2024/05/25,00:00,6,1,01F0633S,01F0664S,41,0,0
2024/05/25,00:00,6,1,01F0633S,01F0664S,42,86,13
2024/05/25,00:00,6,1,01F0633S,01F0664S,5,90,13
2024/05/25,00:00,6,1,01F0633N,01H0579N,31,97,13
2024/05/25,00:00,6,1,01F0633N,01H0579N,32,0,0
2024/05/25,00:00,6,1,01F0633N,01H0579N,41,0,0
2024/05/25,00:00,6,1,01F0633N,01H0579N,42,0,0
2024/05/25,00:00,6,1,01F0633N,01H0579N,5,0,0
2024/05/25,00:00,6,1,01F0578S,01H0610S,31,95,26
2024/05/25,00:00,6,1,01F0578S,01H0610S,32,0,0
2024/05/25,00:00,6,1,01F0578S,01H0610S,41,0,0
2024/05/25,00:00,6,1,01F0578S,01H0610S,42,0,0
2024/05/25,00:00,6,1,01F0578S,01H0610S,5,0,0
2024/05/25,00:05,6,1,01F0584N,01F0557N,31,97,59
2024/05/25,00:05,6,1,01F0584N,01F0557N,32,93,11
2024/05/25,00:05,6,1,01F0584N,01F0557N,41,100,1
2024/05/25,00:05,6,1,01F0584N,01F0557N,42,86,9
2024/05/25,00:05,6,1,01F0584N,01F0557N,5,90,13
2024/05/25,00:05,6,1,01F0633N,01F0584N,31,100,39
2024/05/25,00:05,6,1,01F0633N,01F0584N,32,108,2
2024/05/25,00:05,6,1,01F0633N,01F0584N,41,0,0
2024/05/25,00:05,6,1,01F0633N,01F0584N,42,86,8
