TimeInterval,Time,WeekDay,HoliDay,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,交通量
2024/05/20,00:00,1,0,01F0584N,01F0557N,31,100,81
2024/05/20,00:00,1,0,01F0584N,01F0557N,32,97,14
2024/05/20,00:00,1,0,01F0584N,01F0557N,41,97,2
2024/05/20,00:00,1,0,01F0584N,01F0557N,42,93,5
2024/05/20,00:00,1,0,01F0584N,01F0557N,5,86,8
2024/05/20,00:00,1,0,01F0633N,01F0584N,31,104,55
2024/05/20,00:00,1,0,01F0633N,01F0584N,32,97,7
2024/05/20,00:00,1,0,01F0633N,01F0584N,41,97,1
2024/05/20,00:00,1,0,01F0633N,01F0584N,42,86,6
2024/05/20,00:00,1,0,01F0633N,01F0584N,5,90,6
2024/05/20,00:00,1,0,01F0578S,01F0633S,31,99,40
2024/05/20,00:00,1,0,01F0578S,01F0633S,32,93,10
2024/05/20,00:00,1,0,01F0578S,01F0633S,41,0,0
2024/05/20,00:00,1,0,01F0578S,01F0633S,42,84,8
2024/05/20,00:00,1,0,01F0578S,01F0633S,5,93,3
2024/05/20,00:00,1,0,01F0633S,01F0664S,31,100,54
2024/05/20,00:00,1,0,01F0633S,01F0664S,32,93,9
2024/05/20,00:00,1,0,01F0633S,01F0664S,41,93,1
2024/05/20,00:00,1,0,01F0633S,01F0664S,42,86,8
2024/05/20,00:00,1,0,01F0633S,01F0664S,5,86,5
2024/05/20,00:00,1,0,01F0633N,01H0579N,31,97,11
2024/05/20,00:00,1,0,01F0633N,01H0579N,32,100,3
2024/05/20,00:00,1,0,01F0633N,01H0579N,41,0,0
2024/05/20,00:00,1,0,01F0633N,01H0579N,42,0,0
2024/05/20,00:00,1,0,01F0633N,01H0579N,5,0,0
2024/05/20,00:00,1,0,01F0578S,01H0610S,31,93,7
2024/05/20,00:00,1,0,01F0578S,01H0610S,32,100,2
2024/05/20,00:00,1,0,01F0578S,01H0610S,41,0,0
2024/05/20,00:00,1,0,01F0578S,01H0610S,42,0,0
2024/05/20,00:00,1,0,01F0578S,01H0610S,5,0,0
2024/05/20,00:05,1,0,01F0584N,01F0557N,31,100,79
2024/05/20,00:05,1,0,01F0584N,01F0557N,32,100,10
2024/05/20,00:05,1,0,01F0584N,01F0557N,41,97,2
2024/05/20,00:05,1,0,01F0584N,01F0557N,42,86,3
2024/05/20,00:05,1,0,01F0584N,01F0557N,5,81,4
2024/05/20,00:05,1,0,01F0633N,01F0584N,31,104,73
2024/05/20,00:05,1,0,01F0633N,01F0584N,32,104,11
2024/05/20,00:05,1,0,01F0633N,01F0584N,41,57,2
2024/05/20,00:05,1,0,01F0633N,01F0584N,42,91,2
2024/05/20,00:05,1,0,01F0633N,01F0584N,5,84,4
2024/05/20,00:05,1,0,01F0578S,01F0633S,31,100,32
2024/05/20,00:05,1,0,01F0578S,01F0633S,32,97,6
2024/05/20,00:05,1,0,01F0578S,01F0633S,41,93,1
2024/05/20,00:05,1,0,01F0578S,01F0633S,42,93,3
2024/05/20,00:05,1,0,01F0578S,01F0633S,5,82,3
2024/05/20,00:05,1,0,01F0633S,01F0664S,31,97,42
2024/05/20,00:05,1,0,01F0633S,01F0664S,32,93,7
2024/05/20,00:05,1,0,01F0633S,01F0664S,41,0,0
2024/05/20,00:05,1,0,01F0633S,01F0664S,42,82,5
2024/05/20,00:05,1,0,01F0633S,01F0664S,5,86,4
2024/05/20,00:05,1,0,01F0633N,01H0579N,31,106,12
2024/05/20,00:05,1,0,01F0633N,01H0579N,32,97,1
2024/05/20,00:05,1,0,01F0633N,01H0579N,41,0,0
2024/05/20,00:05,1,0,01F0633N,01H0579N,42,0,0
2024/05/20,00:05,1,0,01F0633N,01H0579N,5,0,0
2024/05/20,00:05,1,0,01F0578S,01H0610S,31,104,6
2024/05/20,00:05,1,0,01F0578S,01H0610S,32,0,0
2024/05/20,00:05,1,0,01F0578S,01H0610S,41,0,0
2024/05/20,00:05,1,0,01F0578S,01H0610S,42,0,0
2024/05/20,00:05,1,0,01F0578S,01H0610S,5,0,0
2024/05/20,00:10,1,0,01F0584N,01F0557N,31,104,65
2024/05/20,00:10,1,0,01F0584N,01F0557N,32,99,10
2024/05/20,00:10,1,0,01F0584N,01F0557N,41,93,2
2024/05/20,00:10,1,0,01F0584N,01F0557N,42,97,1
2024/05/20,00:10,1,0,01F0584N,01F0557N,5,84,6
2024/05/20,00:10,1,0,01F0633N,01F0584N,31,104,51
2024/05/20,00:10,1,0,01F0633N,01F0584N,32,104,11
2024/05/20,00:10,1,0,01F0633N,01F0584N,41,57,2
2024/05/20,00:10,1,0,01F0633N,01F0584N,42,88,4
2024/05/20,00:10,1,0,01F0633N,01F0584N,5,86,8
2024/05/20,00:10,1,0,01F0578S,01F0633S,31,100,54
2024/05/20,00:10,1,0,01F0578S,01F0633S,32,97,5
2024/05/20,00:10,1,0,01F0578S,01F0633S,41,93,1
2024/05/20,00:10,1,0,01F0578S,01F0633S,42,84,6
2024/05/20,00:10,1,0,01F0578S,01F0633S,5,86,4
2024/05/20,00:10,1,0,01F0633S,01F0664S,31,100,47
2024/05/20,00:10,1,0,01F0633S,01F0664S,32,100,9
2024/05/20,00:10,1,0,01F0633S,01F0664S,41,93,2
2024/05/20,00:10,1,0,01F0633S,01F0664S,42,90,4
2024/05/20,00:10,1,0,01F0633S,01F0664S,5,90,4
2024/05/20,00:10,1,0,01F0633N,01H0579N,31,108,6
2024/05/20,00:10,1,0,01F0633N,01H0579N,32,86,1
2024/05/20,00:10,1,0,01F0633N,01H0579N,41,0,0
