編號,地震時間,經度,緯度,規模,深度,位置
142,2024/4/5 17:04,121.656,24.026,4.5,29.6,花蓮縣政府東北方  5.3  公里 (位於花蓮縣近海)(花蓮縣近海)
141,2024/4/5 14:16,121.685,24.1357,4.5,17.6,花蓮縣政府北北東方  17.3  公里 (位於花蓮縣近海)(花蓮縣近海)
140,2024/4/5 14:12,121.591,23.7993,5.1,10,花蓮縣政府南方  21.4  公里 (位於花蓮縣近海)(花蓮縣近海)
139,2024/4/5 13:02,121.692,24.1305,4.1,16.1,花蓮縣政府北北東方  17.1  公里 (位於花蓮縣近海)(花蓮縣近海)
138,2024/4/5 12:50,121.682,24.1305,5.4,8.3,花蓮縣政府北北東方  16.7  公里 (位於花蓮縣近海)(花蓮縣近海)
137,2024/4/5 12:40,121.756,24.2055,4.7,8.6,花蓮縣政府北北東方  27.5  公里 (位於花蓮縣近海)(花蓮縣近海)
136,2024/4/5 12:36,121.752,24.2213,4,13.7,花蓮縣政府北北東方  28.8  公里 (位於花蓮縣近海)(花蓮縣近海)
135,2024/4/5 10:10,121.587,23.925,4.2,6.8,花蓮縣政府南南西方  8.0  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
134,2024/4/5 09:17,121.769,24.2478,4.1,13.8,花蓮縣政府北北東方  32.2  公里 (位於花蓮縣近海)(花蓮縣近海)
133,2024/4/5 05:10,121.737,24.2453,4.1,9.9,花蓮縣政府北北東方  30.6  公里 (位於花蓮縣近海)(花蓮縣近海)
132,2024/4/5 04:28,121.746,24.2348,4.4,10.8,花蓮縣政府北北東方  29.9  公里 (位於花蓮縣近海)(花蓮縣近海)
131,2024/4/5 03:48,121.748,24.2363,4.3,13.3,花蓮縣政府北北東方  30.1  公里 (位於花蓮縣近海)(花蓮縣近海)
130,2024/4/5 02:42,121.9,24.2857,4.6,5,花蓮縣政府東北方  43.3  公里 (位於臺灣東部海域)(臺灣東部海域)
129,2024/4/5 02:35,121.671,24.1568,5.3,31.2,花蓮縣政府北北東方  19.1  公里 (位於花蓮縣近海)(花蓮縣近海)
128,2024/4/5 01:24,121.76,24.2358,4.9,14.8,花蓮縣政府北北東方  30.6  公里 (位於花蓮縣近海)(花蓮縣近海)
127,2024/4/5 01:22,121.745,24.246,4.1,12,花蓮縣政府北北東方  31.0  公里 (位於花蓮縣近海)(花蓮縣近海)
126,2024/4/4 22:53,121.747,24.2563,4.2,11,花蓮縣政府北北東方  32.1  公里 (位於花蓮縣近海)(花蓮縣近海)
125,2024/4/4 22:30,121.748,24.2613,5.1,10,花蓮縣政府北北東方  32.6  公里 (位於花蓮縣近海)(花蓮縣近海)
124,2024/4/4 13:16,121.772,24.1835,4.4,20.6,花蓮縣政府東北方  26.3  公里 (位於臺灣東部海域)(臺灣東部海域)
123,2024/4/4 13:00,121.747,24.1992,4.8,13,花蓮縣政府北北東方  26.4  公里 (位於花蓮縣近海)(花蓮縣近海)
122,2024/4/4 12:11,121.735,24.1728,4.1,15.5,花蓮縣政府北北東方  23.3  公里 (位於花蓮縣近海)(花蓮縣近海)
121,2024/4/4 11:31,121.716,24.1677,4,16,花蓮縣政府北北東方  21.9  公里 (位於花蓮縣近海)(花蓮縣近海)
120,2024/4/4 11:14,121.684,24.0262,4.4,39,花蓮縣政府東北東方  7.6  公里 (位於花蓮縣近海)(花蓮縣近海)
119,2024/4/4 11:10,121.721,24.2,4,12.5,花蓮縣政府北北東方  25.3  公里 (位於花蓮縣近海)(花蓮縣近海)
118,2024/4/4 10:04,121.719,24.1845,4,12.8,花蓮縣政府北北東方  23.7  公里 (位於花蓮縣近海)(花蓮縣近海)
117,2024/4/4 10:02,121.708,24.1738,4.8,15.5,花蓮縣政府北北東方  22.1  公里 (位於花蓮縣近海)(花蓮縣近海)
116,2024/4/4 09:29,121.54,23.8217,4.8,7.5,花蓮縣政府南南西方  20.5  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
115,2024/4/4 08:32,121.691,24.225,4.2,16.1,花蓮縣政府北北東方  26.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
114,2024/4/4 08:18,121.688,24.2253,4.3,16.6,花蓮縣政府北北東方  26.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
113,2024/4/4 06:48,121.681,24.0707,4.8,37.4,花蓮縣政府東北方  10.8  公里 (位於花蓮縣近海)(花蓮縣近海)
112,2024/4/4 06:46,121.685,23.9872,4.8,36.9,花蓮縣政府東方  6.6  公里 (位於花蓮縣近海)(花蓮縣近海)
111,2024/4/4 05:56,121.681,24.1968,4.8,7.9,花蓮縣政府北北東方  23.6  公里 (位於花蓮縣近海)(花蓮縣近海)
110,2024/4/4 05:19,121.779,24.1578,4,16.6,花蓮縣政府東北方  24.5  公里 (位於臺灣東部海域)(臺灣東部海域)
109,2024/4/4 04:29,121.823,24.2567,4.7,9,花蓮縣政府東北方  36.0  公里 (位於花蓮縣近海)(花蓮縣近海)
108,2024/4/4 04:26,121.69,24.2463,4.3,23.6,花蓮縣政府北北東方  29.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
107,2024/4/4 03:46,121.766,23.816,4.9,6,花蓮縣政府東南方  24.4  公里 (位於臺灣東部海域)(臺灣東部海域)
106,2024/4/4 03:07,121.74,23.9127,4.5,26.9,花蓮縣政府東南東方  15.0  公里 (位於臺灣東部海域)(臺灣東部海域)
105,2024/4/4 02:55,121.674,24.169,4.1,17.1,花蓮縣政府北北東方  20.5  公里 (位於花蓮縣近海)(花蓮縣近海)
104,2024/4/4 02:30,121.683,24.1767,4.3,18,花蓮縣政府北北東方  21.5  公里 (位於花蓮縣近海)(花蓮縣近海)
103,2024/4/4 02:29,121.788,23.7963,5.4,5.8,花蓮縣政府東南方  27.5  公里 (位於臺灣東部海域)(臺灣東部海域)
102,2024/4/4 01:39,121.627,23.931,4.7,17.6,花蓮縣政府南方  6.7  公里 (位於花蓮縣近海)(花蓮縣近海)
101,2024/4/4 01:18,121.769,24.082,4.7,12.8,花蓮縣政府東北東方  18.2  公里 (位於臺灣東部海域)(臺灣東部海域)
100,2024/4/3 23:55,121.739,24.2115,5.1,10,花蓮縣政府北北東方  27.3  公里 (位於花蓮縣近海)(花蓮縣近海)
99,2024/4/3 23:42,121.683,24.1738,5,17.1,花蓮縣政府北北東方  21.2  公里 (位於花蓮縣近海)(花蓮縣近海)
98,2024/4/3 23:39,121.688,24.1555,5.1,17.2,花蓮縣政府北北東方  19.5  公里 (位於花蓮縣近海)(花蓮縣近海)
97,2024/4/3 23:20,121.725,24.1615,4.1,9.2,花蓮縣政府北北東方  21.7  公里 (位於花蓮縣近海)(花蓮縣近海)
96,2024/4/3 23:01,121.69,24.238,4.6,22.9,花蓮縣政府北北東方  28.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
95,2024/4/3 22:49,121.806,24.1475,4.7,11.6,花蓮縣政府東北方  25.7  公里 (位於臺灣東部海域)(臺灣東部海域)
94,2024/4/3 22:38,121.644,24.1823,4.5,7.7,花蓮縣政府北方  21.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
93,2024/4/3 22:29,121.691,24.18,4.3,13.5,花蓮縣政府北北東方  22.1  公里 (位於花蓮縣近海)(花蓮縣近海)
92,2024/4/3 22:17,121.767,24.3035,4,14.7,花蓮縣政府北北東方  37.7  公里 (位於花蓮縣近海)(花蓮縣近海)
91,2024/4/3 21:52,121.832,24.164,4.1,21,花蓮縣政府東北方  28.8  公里 (位於臺灣東部海域)(臺灣東部海域)
90,2024/4/3 21:24,121.764,24.1995,4.4,23.8,花蓮縣政府東北方  27.3  公里 (位於臺灣東部海域)(臺灣東部海域)
89,2024/4/3 20:02,121.635,24.0363,4.3,15.9,花蓮縣政府北北東方  5.2  公里 (位於花蓮縣近海)(花蓮縣近海)
88,2024/4/3 19:51,121.635,24.0298,4.3,22.1,花蓮縣政府北北東方  4.6  公里 (位於花蓮縣近海)(花蓮縣近海)
87,2024/4/3 19:22,121.744,24.2157,4,13.1,花蓮縣政府北北東方  27.9  公里 (位於花蓮縣近海)(花蓮縣近海)
86,2024/4/3 18:56,121.681,24.034,4.9,42.6,花蓮縣政府東北方  7.8  公里 (位於花蓮縣近海)(花蓮縣近海)
85,2024/4/3 18:38,121.639,24.2017,4.6,29.9,花蓮縣政府北方  23.4  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
84,2024/4/3 17:53,121.682,24.099,4.3,31.2,花蓮縣政府北北東方  13.5  公里 (位於花蓮縣近海)(花蓮縣近海)
83,2024/4/3 17:53,121.674,24.0373,4.6,24.8,花蓮縣政府東北方  7.5  公里 (位於花蓮縣近海)(花蓮縣近海)
82,2024/4/3 17:40,121.626,24.0875,4.2,12.7,花蓮縣政府北方  10.7  公里 (位於花蓮縣近海)(花蓮縣近海)
81,2024/4/3 17:28,121.754,24.2147,4.1,13,花蓮縣政府北北東方  28.3  公里 (位於花蓮縣近海)(花蓮縣近海)
80,2024/4/3 17:22,121.539,23.7752,4.1,15.4,花蓮縣政府南南西方  25.3  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
79,2024/4/3 17:20,121.71,23.9815,4.4,34.6,花蓮縣政府東方  9.2  公里 (位於花蓮縣近海)(花蓮縣近海)
78,2024/4/3 17:15,121.624,23.9552,4.4,25.3,花蓮縣政府南方  4.0  公里 (位於花蓮縣近海)(花蓮縣近海)
77,2024/4/3 17:08,121.531,23.7478,4.1,18,花蓮縣政府南南西方  28.4  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
76,2024/4/3 16:56,121.631,24.0685,4.7,13.1,花蓮縣政府北方  8.6  公里 (位於花蓮縣近海)(花蓮縣近海)
75,2024/4/3 16:38,121.573,23.7367,4.9,15.3,花蓮縣政府南方  28.6  公里 (位於花蓮縣近海)(花蓮縣近海)
74,2024/4/3 16:17,121.634,24.033,4.7,22,花蓮縣政府北北東方  4.9  公里 (位於花蓮縣近海)(花蓮縣近海)
73,2024/4/3 15:24,121.594,23.9892,4.5,11.8,花蓮縣政府西方  2.6  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
72,2024/4/3 15:05,121.697,24.2318,4.4,11.3,花蓮縣政府北北東方  27.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
71,2024/4/3 14:33,121.881,24.2083,4.8,5,花蓮縣政府東北方  35.8  公里 (位於臺灣東部海域)(臺灣東部海域)
