國道別,方向,編號,設定收費區代碼,起點交流道,迄點交流道,收費區設定里程,小型車牌價,大型車牌價,聯結車牌價,緯度,經度
國道一號,N,01F-000.5N,01F0005N,基隆,基隆端,1.1,1.3,1.6,1.9,25.118311,121.731636
國道一號,S,01F-000.5S,01F0005S,基隆端,基隆,1.1,1.3,1.6,1.9,25.118786,121.731764
國道一號,N,01F-001.7N,01F0017N,八堵,基隆,1.2,1.4,1.8,2.1,25.109567,121.725906
國道一號,S,01F-001.7S,01F0017S,基隆,八堵,1.2,1.4,1.8,2.1,25.109567,121.725906
國道一號,N,01F-002.9N,01F0029N,大華系統,八堵,2.8,3.3,4.2,5,25.102836,121.717856
國道一號,S,01F-002.9S,01F0029S,八堵,大華系統,2.8,3.3,4.2,5,25.102836,121.717856
國道一號,N,01F-006.1N,01F0061N,五堵,大華系統,1.8,2.1,2.7,3.2,25.088272,121.693644
國道一號,S,01F-006.1S,01F0061S,大華系統,五堵,1.8,2.1,2.7,3.2,25.088272,121.693644
國道一號,N,01F-009.9N,01F0099N,汐止&汐止系統,五堵,3.7,4.4,5.5,6.6,25.076044,121.659422
國道一號,S,01F-009.9S,01F0099S,五堵,汐止&汐止系統,3.7,4.4,5.5,6.6,25.076264,121.659478
國道一號,N,01F-014.7N,01F0147N,東湖,汐止&汐止系統,3.7,4.4,5.5,6.6,25.065644,121.613519
國道一號,S,01F-014.7S,01F0147S,汐止&汐止系統,東湖,3.7,4.4,5.5,6.6,25.065644,121.613519
國道一號,N,01F-015.3N,01F0153N,內湖,東湖,2.1,2.5,3.1,3.7,25.064911,121.607778
國道一號,S,01F-015.3S,01F0153S,東湖,內湖,2.1,2.5,3.1,3.7,25.064911,121.607778
國道一號,S,01F-018.2S,01F0182S,內湖,圓山,5.9,7,8.8,10.6,25.068986,121.580231
國道一號,N,01F-021.3N,01F0213N,圓山,內湖,5.9,7,8.8,10.6,25.073053,121.550358
國道一號,N,01F-023.3N,01F0233N,臺北,圓山,2.1,2.5,3.1,3.7,25.073019,121.530703
國道一號,S,01F-024.8S,01F0248S,圓山,臺北,2.1,2.5,3.1,3.7,25.077631,121.516603
國道一號,N,01F-025.6N,01F0256N,三重,臺北,2,2.4,3,3.6,25.078067,121.509106
國道一號,S,01F-026.4S,01F0264S,臺北,三重,2,2.4,3,3.6,25.077464,121.501386
國道一號,N,01F-029.3N,01F0293N,五股,三重,5.9,7,8.8,10.6,25.074797,121.472961
國道一號,S,01F-029.3S,01F0293S,三重,五股,5.9,7,8.8,10.6,25.074797,121.472961
國道一號,N,01F-034.0N,01F0340N,高公局,五股,1.4,1.6,2.1,2.5,25.068,121.428056
國道一號,S,01F-033.9S,01F0339S,五股,高公局,1.4,1.6,2.1,2.5,25.068239,121.428764
國道一號,N,01F-037.6N,01F0376N,林口(文化一路),高公局,6.5,7.8,9.7,11.7,25.058667,121.397306
國道一號,S,01F-037.6S,01F0376S,高公局,林口(文化一路),6.5,7.8,9.7,11.7,25.058667,121.397306
國道一號,N,01F-041.3N,01F0413N,林口(文化北路),林口(文化一路),1.4,1.6,2.1,2.5,25.064969,121.363561
國道一號,S,01F-041.3S,01F0413S,林口(文化一路),林口(文化北路),1.4,1.6,2.1,2.5,25.064969,121.363561
國道一號,N,01F-046.7N,01F0467N,桃園(49A),林口(文化北路),6.8,8.1,10.2,12.2,25.047075,121.317761
國道一號,S,01F-046.7S,01F0467S,林口(文化北路),桃園(49A),6.8,8.1,10.2,12.2,25.047075,121.317761
國道一號,N,01F-049.2N,01F0492N,桃園(49B),桃園(49A),1.1,1.3,1.6,1.9,25.036481,121.295531
國道一號,S,01F-049.2S,01F0492S,桃園(49A),桃園(49B),1.1,1.3,1.6,1.9,25.036481,121.295531
國道一號,N,01F-051.1N,01F0511N,機場系統,桃園(49B),2.1,2.5,3.1,3.7,25.025953,121.281731
國道一號,S,01F-051.1S,01F0511S,桃園(49B),機場系統,2.1,2.5,3.1,3.7,25.025953,121.281731
國道一號,N,01F-053.2N,01F0532N,中壢服務區,機場系統,2.9,3.4,4.3,5.2,25.012944,121.266194
國道一號,S,01F-053.2S,01F0532S,機場系統,中壢服務區,2.9,3.4,4.3,5.2,25.012944,121.266194
國道一號,N,01F-055.7N,01F0557N,內壢,中壢服務區,2.2,2.6,3.3,3.9,24.998583,121.247722
國道一號,S,01F-055.7S,01F0557S,中壢服務區,內壢,2.2,2.6,3.3,3.9,24.998583,121.247722
國道一號,S,01F-057.8S,01F0578S,內壢,中壢,5.1,6.1,7.6,9.1,24.984414,121.233197
國道一號,N,01F-058.4N,01F0584N,中壢,內壢,5.1,6.1,7.6,9.1,24.980558,121.228944
國道一號,N,01F-063.3N,01F0633N,平鎮系統,中壢,2.6,3.1,3.9,4.6,24.949281,121.195594
國道一號,S,01F-063.3S,01F0633S,中壢,平鎮系統,2.6,3.1,3.9,4.6,24.949281,121.195594
國道一號,N,01F-066.4N,01F0664N,幼獅,平鎮系統,2.3,2.7,3.4,4.1,24.929544,121.176919
國道一號,S,01F-066.4S,01F0664S,平鎮系統,幼獅,2.3,2.7,3.4,4.1,24.929544,121.176919
國道一號,N,01F-068.1N,01F0681N,楊梅,幼獅,1.9,2.2,2.8,3.4,24.917967,121.167586
國道一號,S,01F-068.1S,01F0681S,幼獅,楊梅,1.9,2.2,2.8,3.4,24.917967,121.167586
國道一號,N,01F-069.9N,01F0699N,校前路,楊梅,1.8,2.1,2.7,3.2,24.903297,121.159761
