DateTime,NOW
2024/5/1,3694.5
2024/5/2,2865.5
2024/5/3,44
2024/5/4,0
2024/5/5,157
2024/5/6,4
2024/5/7,0
2024/5/8,0
2024/5/9,0
2024/5/10,0
2024/5/11,0
2024/5/12,1543
2024/5/13,101.5
2024/5/13,100.5
2024/5/14,12.5
2024/5/15,0.5
2024/5/16,0
2024/5/17,0
2024/5/18,0
2024/5/19,0
2024/5/20,266
2024/5/21,522.5
2024/5/22,208.5
2024/5/23,167
2024/5/24,691
2024/5/25,14
2024/5/26,55
2024/5/27,559
2024/5/28,7089
2024/5/29,144
2024/5/30,0
2024/5/31,0
2024/6/1,0
