GantryFrom,Time,Rains,交通量
01F0584N,07:05,0,657
01F0584N,07:05,1,491
01F0584N,07:10,0,668
01F0584N,07:10,1,526
01F0584N,07:15,0,729
01F0584N,07:15,1,552
01F0584N,07:20,0,768
01F0584N,07:20,1,569
01F0584N,07:25,0,769
01F0584N,07:25,1,630
01F0584N,07:30,0,769
01F0584N,07:30,1,615
01F0584N,07:35,0,798
01F0584N,07:35,1,612
01F0584N,07:40,0,757
01F0584N,07:40,1,635
01F0584N,07:45,0,796
01F0584N,07:45,1,639
01F0584N,07:50,0,756
01F0584N,07:50,1,614
01F0584N,07:55,0,679
01F0584N,07:55,1,625
01F0584N,08:00,0,743
01F0584N,08:00,1,680
01F0584N,08:05,0,797
01F0584N,08:05,1,614
01F0584N,08:10,0,798
01F0584N,08:10,1,664
01F0584N,08:15,0,809
01F0584N,08:15,1,666
01F0584N,08:20,0,890
01F0584N,08:20,1,708
01F0584N,08:25,0,894
01F0584N,08:25,1,706
01F0584N,08:30,0,892
01F0584N,08:30,1,723
01F0584N,08:35,0,928
01F0584N,08:35,1,794
01F0584N,08:40,0,973
01F0584N,08:40,1,784
01F0584N,08:45,0,911
01F0584N,08:45,1,735
01F0584N,08:50,0,875
01F0584N,08:50,1,770
01F0584N,08:55,0,904
01F0584N,08:55,1,744
01F0584N,09:00,0,890
01F0584N,09:00,1,819
01F0584N,09:05,0,914
01F0584N,09:05,1,810
01F0584N,09:10,0,940
01F0584N,09:10,1,754
01F0584N,09:15,0,979
01F0584N,09:15,1,843
01F0584N,09:20,0,1011
01F0584N,09:20,1,844
01F0584N,09:25,0,950
01F0584N,09:25,1,893
01F0584N,09:30,0,982
01F0584N,09:30,1,938
01F0584N,09:35,0,1083
01F0584N,09:35,1,937
01F0584N,09:40,0,1088
01F0584N,09:40,1,977
01F0584N,09:45,0,1144
01F0584N,09:45,1,984
01F0584N,09:50,0,1052
01F0584N,09:50,1,938
01F0584N,09:55,0,1085
01F0584N,09:55,1,978
01F0584N,10:00,0,1080
01F0584N,10:00,1,1001
01F0584N,10:05,0,1076
01F0584N,10:05,1,1019
01F0584N,10:10,0,1028
01F0584N,10:10,1,964
01F0584N,10:15,0,1123
01F0584N,10:15,1,1021
01F0584N,10:20,0,1131
01F0584N,10:20,1,1067
01F0584N,10:25,0,1078
01F0584N,10:25,1,1099
01F0584N,10:30,0,1182
01F0584N,10:30,1,1118
01F0584N,10:35,0,1188
01F0584N,10:35,1,1189
01F0584N,10:40,0,1181
01F0584N,10:40,1,1081
01F0584N,10:45,0,1129
01F0584N,10:45,1,1118
01F0584N,10:50,0,1140
01F0584N,10:50,1,1091
01F0584N,10:55,0,1161
01F0584N,10:55,1,1167
01F0584N,11:00,0,1110
01F0584N,11:00,1,1080
01F0584N,11:05,0,1173
01F0584N,11:05,1,1034
01F0584N,11:10,0,1121
01F0584N,11:10,1,1028
01F0584N,11:15,0,1155
01F0584N,11:15,1,1000
01F0584N,11:20,0,1113
01F0584N,11:20,1,1072
01F0584N,11:25,0,1132
01F0584N,11:25,1,1091
01F0584N,11:30,0,1123
01F0584N,11:30,1,1078
01F0584N,11:35,0,1099
01F0584N,11:35,1,1137
01F0584N,11:40,0,1057
01F0584N,11:40,1,1165
01F0584N,11:45,0,1107
01F0584N,11:45,1,1110
01F0584N,11:50,0,1059
01F0584N,11:50,1,1067
01F0584N,11:55,0,1055
01F0584N,11:55,1,1094
01F0584N,12:00,0,1079
01F0584N,12:00,1,1169
01F0584N,12:05,0,1113
01F0584N,12:05,1,1173
01F0584N,12:10,0,1075
01F0584N,12:10,1,1123
01F0584N,12:15,0,1133
01F0584N,12:15,1,1130
01F0584N,12:20,0,1137
01F0584N,12:20,1,1146
01F0584N,12:25,0,1097
01F0584N,12:25,1,1070
01F0584N,12:30,0,1137
01F0584N,12:30,1,1079
01F0584N,12:35,0,1131
01F0584N,12:35,1,1110
01F0584N,12:40,0,1139
01F0584N,12:40,1,1099
01F0584N,12:45,0,1164
01F0584N,12:45,1,1107
01F0584N,12:50,0,1098
01F0584N,12:50,1,996
01F0584N,12:55,0,1147
01F0584N,12:55,1,1100
01F0584N,13:00,0,1104
01F0584N,13:00,1,1078
01F0584N,13:05,0,1127
01F0584N,13:05,1,990
01F0584N,13:10,0,1090
01F0584N,13:10,1,1137
01F0584N,13:15,0,1096
01F0584N,13:15,1,1064
01F0584N,13:20,0,1121
01F0584N,13:20,1,1079
01F0584N,13:25,0,1138
01F0584N,13:25,1,1131
01F0584N,13:30,0,1043
01F0584N,13:30,1,1159
01F0584N,13:35,0,1024
01F0584N,13:35,1,1148
01F0584N,13:40,0,1097
01F0584N,13:40,1,1140
01F0584N,13:45,0,1190
01F0584N,13:45,1,1173
01F0584N,13:50,0,1168
01F0584N,13:50,1,1153
01F0584N,13:55,0,1156
01F0584N,13:55,1,1101
01F0584N,14:00,0,1181
01F0584N,14:00,1,1154
01F0584N,14:05,0,1169
01F0584N,14:05,1,1200
01F0584N,14:10,0,1191
01F0584N,14:10,1,1118
01F0584N,14:15,0,1218
01F0584N,14:15,1,1144
01F0584N,14:20,0,1142
01F0584N,14:20,1,1196
01F0584N,14:25,0,1199
01F0584N,14:25,1,1251
01F0584N,14:30,0,1174
01F0584N,14:30,1,1274
01F0584N,14:35,0,1188
01F0584N,14:35,1,1219
01F0584N,14:40,0,1140
01F0584N,14:40,1,1170
01F0584N,14:45,0,1216
01F0584N,14:45,1,1167
01F0584N,14:50,0,1130
01F0584N,14:50,1,1176
01F0584N,14:55,0,1142
01F0584N,14:55,1,1335
01F0584N,15:00,0,1139
01F0584N,15:00,1,1165
01F0584N,15:05,0,1151
01F0584N,15:05,1,1238
01F0584N,15:10,0,1111
01F0584N,15:10,1,1194
01F0584N,15:15,0,1223
01F0584N,15:15,1,1219
01F0584N,15:20,0,1138
01F0584N,15:20,1,1229
01F0584N,15:25,0,1224
01F0584N,15:25,1,1197
01F0584N,15:30,0,1190
01F0584N,15:30,1,1261
01F0584N,15:35,0,1252
01F0584N,15:35,1,1215
01F0584N,15:40,0,1201
01F0584N,15:40,1,1266
01F0584N,15:45,0,1274
01F0584N,15:45,1,1243
01F0584N,15:50,0,1238
01F0584N,15:50,1,1285
01F0584N,15:55,0,1194
01F0584N,15:55,1,1262
01F0584N,16:00,0,1176
01F0584N,16:00,1,1292
01F0584N,16:05,0,1187
01F0584N,16:05,1,1297
01F0584N,16:10,0,1230
01F0584N,16:10,1,1238
01F0584N,16:15,0,1267
01F0584N,16:15,1,1223
01F0584N,16:20,0,1232
01F0584N,16:20,1,1265
01F0584N,16:25,0,1216
01F0584N,16:25,1,1264
01F0584N,16:30,0,1235
01F0584N,16:30,1,1321
01F0584N,16:35,0,1253
01F0584N,16:35,1,1235
01F0584N,16:40,0,1141
01F0584N,16:40,1,1287
01F0584N,16:45,0,1247
01F0584N,16:45,1,1239
01F0584N,16:50,0,1306
01F0584N,16:50,1,1254
01F0584N,16:55,0,1198
01F0584N,16:55,1,1309
01F0584N,17:00,0,1271
01F0584N,17:00,1,1277
01F0584N,17:05,0,1203
01F0584N,17:05,1,1327
01F0584N,17:10,0,1245
01F0584N,17:10,1,1308
01F0584N,17:15,0,1323
01F0584N,17:15,1,1296
01F0584N,17:20,0,1260
01F0584N,17:20,1,1299
01F0584N,17:25,0,1316
01F0584N,17:25,1,1347
01F0584N,17:30,0,1272
01F0584N,17:30,1,1259
01F0584N,17:35,0,1238
01F0584N,17:35,1,1283
01F0584N,17:40,0,1320
01F0584N,17:40,1,1259
01F0584N,17:45,0,1270
01F0584N,17:45,1,1219
01F0584N,17:50,0,1240
01F0584N,17:50,1,1204
01F0584N,17:55,0,1208
01F0584N,17:55,1,1232
01F0584N,18:00,0,1176
01F0584N,18:00,1,1163
01F0584N,18:05,0,1201
01F0584N,18:05,1,1299
01F0584N,18:10,0,1115
01F0584N,18:10,1,1216
01F0584N,18:15,0,1217
01F0584N,18:15,1,1234
01F0584N,18:20,0,1155
01F0584N,18:20,1,1232
01F0584N,18:25,0,1243
01F0584N,18:25,1,1130
01F0584N,18:30,0,1106
01F0584N,18:30,1,1085
01F0584N,18:35,0,1179
01F0584N,18:35,1,1117
01F0584N,18:40,0,1093
01F0584N,18:40,1,1183
01F0584N,18:45,0,1169
01F0584N,18:45,1,1108
01F0584N,18:50,0,988
01F0584N,18:50,1,1101
01F0584N,18:55,0,961
01F0584N,18:55,1,1050
01F0584N,19:00,0,985
01F0584N,19:00,1,1052
01F0584N,19:05,0,923
01F0584N,19:05,1,1044
01F0584N,19:10,0,1016
01F0584N,19:10,1,1086
01F0584N,19:15,0,1030
01F0584N,19:15,1,1150
01F0584N,19:20,0,1045
01F0584N,19:20,1,1111
01F0584N,19:25,0,1051
01F0584N,19:25,1,1127
01F0584N,19:30,0,1012
01F0584N,19:30,1,1080
01F0584N,19:35,0,969
01F0584N,19:35,1,1110
01F0584N,19:40,0,1070
01F0584N,19:40,1,1105
01F0584N,19:45,0,1002
01F0584N,19:45,1,1059
01F0584N,19:50,0,975
